,Grad,Lon,Lat,TempSur,TempSur_celsius,TempSur_c,temp_at_f,pressure,CO2_dense,CO2_phase,geometry,index_right
0,28.5,-98.0,30.0,288.0,15.0,15.0,22.125,2525358.3181875004,52.89819496266307,5.0,POINT (-98 30),0.0
1,28.0,-98.1,30.0,288.0,15.0,15.0,22.0,2525358.3181875004,52.93546049545624,5.0,POINT (-98.09999999999999 30),0.0
2,27.3,-98.2,30.0,287.8,15.0,15.0,21.825,2525358.3181875004,52.98776072323329,5.0,POINT (-98.2 30),0.0
3,26.3,-98.3,30.0,287.4,14.0,14.0,20.575,2525358.3181875004,53.365765907247024,5.0,POINT (-98.3 30),0.0
4,26.5,-98.4,30.0,287.2,14.0,14.0,20.625,2525358.3181875004,53.350494186950876,5.0,POINT (-98.40000000000001 30),0.0
5,25.0,-98.5,30.0,287.5,14.0,14.0,20.25,2525358.3181875004,53.46534513027027,5.0,POINT (-98.5 30),0.0
6,22.4,-98.6,30.0,287.4,14.0,14.0,19.6,2525358.3181875004,53.666149770112085,5.0,POINT (-98.59999999999999 30),0.0
7,19.8,-98.7,30.0,287.1,14.0,14.0,18.95,2525358.3181875004,53.86918903278281,5.0,POINT (-98.7 30),0.0
8,17.2,-98.8,30.0,287.3,14.0,14.0,18.3,2525358.3181875004,54.07451198011198,5.0,POINT (-98.8 30),0.0
9,14.6,-98.9,30.0,287.1,14.0,14.0,17.65,2525358.3181875004,54.282169371686074,5.0,POINT (-98.90000000000001 30),0.0
10,12.0,-99.0,30.0,286.9,14.0,14.0,17.0,2525358.3181875004,54.492213746685124,5.0,POINT (-99 30),0.0
11,15.0,-99.1,30.0,287.2,14.0,14.0,17.75,2525358.3181875004,54.25006805128358,5.0,POINT (-99.09999999999999 30),0.0
12,17.7,-99.2,30.0,287.4,14.0,14.0,18.425,2525358.3181875004,54.03484708969125,5.0,POINT (-99.2 30),0.0
13,20.5,-99.3,30.0,287.5,14.0,14.0,19.125,2525358.3181875004,53.814302035342195,5.0,POINT (-99.3 30),0.0
14,22.9,-99.4,30.0,287.3,14.0,14.0,19.725,2525358.3181875004,53.62736143279515,5.0,POINT (-99.40000000000001 30),0.0
15,24.5,-99.5,30.0,286.9,14.0,14.0,20.125,2525358.3181875004,53.50379010239083,5.0,POINT (-99.5 30),0.0
16,25.5,-99.6,30.0,286.5,13.0,13.0,19.375,2525358.3181875004,53.7361772526247,5.0,POINT (-99.59999999999999 30),0.0
17,22.0,-99.7,30.0,286.7,14.0,14.0,19.5,2525358.3181875004,53.69723992180827,5.0,POINT (-99.7 30),0.0
18,22.5,-99.8,30.0,287.0,14.0,14.0,19.625,2525358.3181875004,53.65838550269664,5.0,POINT (-99.8 30),0.0
19,23.0,-99.9,30.0,287.7,15.0,15.0,20.75,2525358.3181875004,53.31237076810858,5.0,POINT (-99.90000000000001 30),0.0
20,29.0,-100.0,30.0,287.9,15.0,15.0,22.25,2525358.3181875004,52.861005563625675,5.0,POINT (-100 30),0.0
21,26.0,-100.1,30.0,287.6,14.0,14.0,20.5,2525358.3181875004,53.38869750221861,5.0,POINT (-100.1 30),0.0
22,20.0,-100.2,30.0,287.2,14.0,14.0,19.0,2525358.3181875004,53.853490185876666,5.0,POINT (-100.2 30),0.0
23,27.0,-100.3,30.0,287.3,14.0,14.0,20.75,2525358.3181875004,53.31237076810858,5.0,POINT (-100.3 30),0.0
24,37.0,-100.4,30.0,287.5,14.0,14.0,23.25,2525358.3181875004,52.56619543999004,5.0,POINT (-100.4 30),0.0
25,34.0,-100.5,30.0,288.1,15.0,15.0,23.5,2525358.3181875004,52.4932335922604,5.0,POINT (-100.5 30),0.0
26,34.0,-100.6,30.0,288.3,15.0,15.0,23.5,2525358.3181875004,52.4932335922604,5.0,POINT (-100.6 30),0.0
27,34.0,-100.7,30.0,288.9,16.0,16.0,24.5,2525358.3181875004,52.20428071803998,5.0,POINT (-100.7 30),0.0
28,28.0,-100.8,30.0,289.2,16.0,16.0,23.0,2525358.3181875004,52.639451245873275,5.0,POINT (-100.8 30),0.0
29,30.0,-100.9,30.0,289.4,16.0,16.0,23.5,2525358.3181875004,52.4932335922604,5.0,POINT (-100.9 30),0.0
30,33.0,-101.0,30.0,289.8,17.0,17.0,25.25,2525358.3181875004,51.99054387950113,5.0,POINT (-101 30),0.0
31,29.0,-98.0,30.1,287.7,15.0,15.0,22.25,2525358.3181875004,52.861005563625675,5.0,POINT (-98 30.1),0.0
32,28.5,-98.1,30.1,287.9,15.0,15.0,22.125,2525358.3181875004,52.89819496266307,5.0,POINT (-98.09999999999999 30.1),0.0
33,28.0,-98.2,30.1,287.8,15.0,15.0,22.0,2525358.3181875004,52.93546049545624,5.0,POINT (-98.2 30.1),0.0
34,27.0,-98.3,30.1,287.5,14.0,14.0,20.75,2525358.3181875004,53.31237076810858,5.0,POINT (-98.3 30.1),0.0
35,26.0,-98.4,30.1,287.1,14.0,14.0,20.5,2525358.3181875004,53.38869750221861,5.0,POINT (-98.40000000000001 30.1),0.0
36,24.4,-98.5,30.1,287.1,14.0,14.0,20.1,2525358.3181875004,53.51148883194307,5.0,POINT (-98.5 30.1),0.0
37,22.8,-98.6,30.1,287.2,14.0,14.0,19.7,2525358.3181875004,53.6351125057773,5.0,POINT (-98.59999999999999 30.1),0.0
38,21.1,-98.7,30.1,287.3,14.0,14.0,19.275,2525358.3181875004,53.76738704609465,5.0,POINT (-98.7 30.1),0.0
39,19.5,-98.8,30.1,287.3,14.0,14.0,18.875,2525358.3181875004,53.89276264542369,5.0,POINT (-98.8 30.1),0.0
40,17.9,-98.9,30.1,287.1,14.0,14.0,18.475,2525358.3181875004,54.01900522322577,5.0,POINT (-98.90000000000001 30.1),0.0
41,16.3,-99.0,30.1,287.1,14.0,14.0,18.075,2525358.3181875004,54.146126576200786,5.0,POINT (-99 30.1),0.0
42,15.7,-99.1,30.1,287.3,14.0,14.0,17.925,2525358.3181875004,54.19402609373883,5.0,POINT (-99.09999999999999 30.1),0.0
43,19.0,-99.2,30.1,287.1,14.0,14.0,18.75,2525358.3181875004,53.932119769040355,5.0,POINT (-99.2 30.1),0.0
