,Depth,pressure,temp_cel_climate,temp_cel,temp_min,temp_max,Grad,Sur,co2_den,co2_state,co2_den_climate,co2_state_climate,co2_den_min,co2_state_min,co2_den_max,co2_state_max
0,-1,10101.43327275,16.0238,14.0238,12.007,17.039,23.8,14.0,0.18629337264846585,5.0,0.18629337264846585,5.0,0.18761344818012804,5.0,0.18435416033215477,5.0
1,-2,20202.8665455,16.0476,14.0476,12.014,17.078,23.8,14.0,0.3727675540214098,5.0,0.3727675540214098,5.0,0.3754359784870455,5.0,0.36886108240697457,5.0
2,-3,30304.299818250005,16.0714,14.0714,12.021,17.117,23.8,14.0,0.5594229489223348,5.0,0.5594229489223348,5.0,0.563468183386518,5.0,0.5535210072898853,5.0
3,-4,40405.733091,16.0952,14.0952,12.028,17.156,23.8,14.0,0.7462599636459075,5.0,0.7462599636459075,5.0,0.7517106580936725,5.0,0.7383341766320294,5.0
4,-5,50507.16636375,16.119,14.119,12.035,17.195,23.8,14.0,0.9332790059853254,5.0,0.9332790059853254,5.0,0.9401640005905307,5.0,0.923300832671821,5.0
5,-6,60608.59963650001,16.1428,14.1428,12.042,17.234,23.8,14.0,1.120480485239727,5.0,1.120480485239727,5.0,1.1288288116436866,5.0,1.1084212182365056,5.0
6,-7,70710.03290925002,16.166600000000003,14.1666,12.049,17.273,23.8,14.0,1.307864812221652,5.0,1.307864812221652,5.0,1.3177056948221257,5.0,1.2936955767437264,5.0
7,-8,80811.466182,16.1904,14.1904,12.056,17.312,23.8,14.0,1.4954323992645489,5.0,1.4954323992645489,5.0,1.5067952565151965,5.0,1.4791241522030962,5.0
8,-9,90912.89945475002,16.214199999999998,14.2142,12.063,17.351,23.8,14.0,1.6831836602303318,5.0,1.6831836602303318,5.0,1.6960981059507247,5.0,1.6647071892177747,5.0
9,-10,101014.3327275,16.238,14.238,12.07,17.39,23.8,14.0,1.871119010516982,5.0,1.871119010516982,5.0,1.8856148552132772,5.0,1.8504449329860504,5.0
10,-11,111115.76600025002,16.2618,14.261800000000001,12.077,17.429,23.8,14.0,2.059238867066207,5.0,2.059238867066207,5.0,2.0753461192625795,5.0,2.0363376293029276,5.0
11,-12,121217.19927300002,16.285600000000002,14.2856,12.084,17.468,23.8,14.0,2.247543648371137,5.0,2.247543648371137,5.0,2.265292515952083,5.0,2.22238552456172,5.0
12,-13,131318.63254575,16.3094,14.3094,12.091,17.507,23.8,14.0,2.4360337744840836,5.0,2.4360337744840836,5.0,2.4554546660476855,5.0,2.408588865755652,5.0
13,-14,141420.06581850004,16.333199999999998,14.3332,12.098,17.546,23.8,14.0,2.6247096670243426,5.0,2.6247096670243426,5.0,2.645833193246615,5.0,2.5949479004794616,5.0
14,-15,151521.49909125,16.357,14.357,12.105,17.585,23.8,14.0,2.8135717491860412,5.0,2.8135717491860412,5.0,2.8364287241964514,5.0,2.7814628769310064,5.0
15,-16,161622.932364,16.3808,14.3808,12.112,17.624,23.8,14.0,3.0026204457460546,5.0,3.0026204457460546,5.0,3.02724188851433,5.0,2.9681340439128854,5.0
16,-17,171724.36563675,16.404600000000002,14.4046,12.119,17.663,23.8,14.0,3.1918561830719523,5.0,3.1918561830719523,5.0,3.2182733188062955,5.0,3.154961650834058,5.0
17,-18,181825.79890950004,16.4284,14.4284,12.126,17.701999999999998,23.8,14.0,3.381279389130011,5.0,3.381279389130011,5.0,3.4095236506868076,5.0,3.341945947711467,5.0
18,-19,191927.23218225004,16.452199999999998,14.4522,12.133,17.741,23.8,14.0,3.5708904934932724,5.0,3.5708904934932724,5.0,3.600993522798421,5.0,3.529087185171672,5.0
19,-20,202028.665455,16.476,14.476,12.14,17.78,23.8,14.0,3.76068992734966,5.0,3.76068992734966,5.0,3.792683576831637,5.0,3.716385614452488,5.0
20,-21,212130.09872775004,16.4998,14.4998,12.147,17.819,23.8,14.0,3.950678123510141,5.0,3.950678123510141,5.0,3.984594457544907,5.0,3.903841487404629,5.0
21,-22,222231.53200050004,16.523600000000002,14.5236,12.154,17.858,23.8,14.0,4.140855516416952,5.0,4.140855516416952,5.0,4.17672681278481,5.0,4.091455056493355,5.0
22,-23,232332.96527325,16.5474,14.5474,12.161,17.897,23.8,14.0,4.331222542151862,5.0,4.331222542151862,5.0,4.3690812935064045,5.0,4.2792265748001235,5.0
23,-24,242434.39854600004,16.571199999999997,14.5712,12.168,17.936,23.8,14.0,4.521779638444515,5.0,4.521779638444515,5.0,4.561658553793755,5.0,4.467156296024254,5.0
24,-25,252535.83181875004,16.595,14.595,12.175,17.975,23.8,14.0,4.712527244680795,5.0,4.712527244680795,5.0,4.754459250880609,5.0,4.655244474484589,5.0
25,-26,262637.2650915,16.6188,14.6188,12.182,18.014,23.8,14.0,4.903465801911281,5.0,4.903465801911281,5.0,4.9474840451712865,5.0,4.843491365121164,5.0
26,-27,272738.69836425,16.6426,14.6426,12.189,18.053,23.8,14.0,5.094595752859731,5.0,5.094595752859731,5.0,5.140733600261721,5.0,5.031897223496889,5.0
27,-28,282840.1316370001,16.6664,14.6664,12.196,18.092,23.8,14.0,5.285917541931629,5.0,5.285917541931629,5.0,5.334208582960684,5.0,5.2204623057992245,5.0
28,-29,292941.56490975,16.6902,14.6902,12.203,18.131,23.8,14.0,5.477431615222792,5.0,5.477431615222792,5.0,5.527909663311189,5.0,5.4091868688418625,5.0
29,-30,303042.9981825,16.714,14.714,12.21,18.17,23.8,14.0,5.669138420528043,5.0,5.669138420528043,5.0,5.721837514612099,5.0,5.59807117006644,5.0
30,-31,313144.4314552501,16.7378,14.7378,12.217,18.209,23.8,14.0,5.8610384073499215,5.0,5.8610384073499215,5.0,5.915992813439891,5.0,5.787115467544216,5.0
31,-32,323245.864728,16.7616,14.7616,12.224,18.248,23.8,14.0,6.053132026907458,5.0,6.053132026907458,5.0,6.110376239670609,5.0,5.976320019977781,5.0
32,-33,333347.2980007501,16.7854,14.7854,12.231,18.287,23.8,14.0,6.245419732145022,5.0,6.245419732145022,5.0,6.304988476502041,5.0,6.165685086702774,5.0
