,Depth,pressure,temp_cel_climate,temp_cel,temp_min,temp_max,Grad,Sur,co2_den,co2_state,co2_den_climate,co2_state_climate,co2_den_min,co2_state_min,co2_den_max,co2_state_max
0,-1,10101.43327275,17.0305,15.0305,15.028,15.035,30.5,15.0,0.18564138806075503,5.0,0.18564138806075503,5.0,0.18564300151009053,5.0,0.1856384839227689,5.0
1,-2,20202.8665455,17.061,15.061,15.056,15.07,30.5,15.0,0.3714519722961201,5.0,0.3714519722961201,5.0,0.37145844033771747,5.0,0.3714403303911742,5.0
2,-3,30304.299818250005,17.0915,15.0915,15.084,15.105,30.5,15.0,0.5574320861711194,5.0,0.5574320861711194,5.0,0.5574466714066972,5.0,0.5574058346820833,5.0
3,-4,40405.733091,17.122,15.122,15.112,15.14,30.5,15.0,0.7435820642226618,5.0,0.7435820642226618,5.0,0.743608050836608,5.0,0.7435352929316162,5.0
4,-5,50507.16636375,17.1525,15.1525,15.14,15.175,30.5,15.0,0.9299022420640107,5.0,0.9299022420640107,5.0,0.9299429359480953,5.0,0.929829002138243,5.0
5,-6,60608.59963650001,17.183,15.183,15.168,15.21,30.5,15.0,1.1163929563892758,5.0,1.1163929563892758,5.0,1.1164516852682085,5.0,1.1162872601658917,5.0
6,-7,70710.03290925002,17.2135,15.2135,15.196,15.245,30.5,15.0,1.3030545449779323,5.0,1.3030545449779323,5.0,1.3031346585357664,5.0,1.3029103657470755,5.0
7,-8,80811.466182,17.244,15.244,15.224,15.28,30.5,15.0,1.489887346699362,5.0,1.489887346699362,5.0,1.4899922167067576,5.0,1.4896986184860335,5.0
8,-9,90912.89945475002,17.2745,15.2745,15.252,15.315,30.5,15.0,1.6768917015174254,5.0,1.6768917015174254,5.0,1.6770247219597694,5.0,1.6766523188618883,5.0
9,-10,101014.3327275,17.305,15.305,15.28,15.35,30.5,15.0,1.864067950495049,5.0,1.864067950495049,5.0,1.8642325377014477,5.0,1.8637717682318147,5.0
10,-11,111115.76600025002,17.3355,15.3355,15.308,15.385,30.5,15.0,2.05141643579885,5.0,2.05141643579885,5.0,2.0516160285719947,5.0,2.051057268834231,5.0
11,-12,121217.19927300002,17.366,15.366,15.336,15.42,30.5,15.0,2.2389375007037757,5.0,2.2389375007037757,5.0,2.2391755604506876,5.0,2.238509123791997,5.0
12,-13,131318.63254575,17.3965,15.3965,15.364,15.455,30.5,15.0,2.4266314895977756,5.0,2.4266314895977756,5.0,2.4269115004614417,5.0,2.4261276371156373,5.0
13,-14,141420.06581850004,17.427,15.427,15.392,15.49,30.5,15.0,2.614498747986499,5.0,2.614498747986499,5.0,2.6148242169784024,5.0,2.6139131137065714,5.0
14,-15,151521.49909125,17.4575,15.4575,15.42,15.525,30.5,15.0,2.802539622498011,5.0,2.802539622498011,5.0,2.802914079631559,5.0,2.801865859360367,5.0
15,-16,161622.932364,17.488,15.488,15.448,15.56,30.5,15.0,2.9907544608875485,5.0,2.9907544608875485,5.0,2.9911814593124113,5.0,2.98998618077,5.0
16,-17,171724.36563675,17.5185,15.5185,15.476,15.595,30.5,15.0,3.1791436120422865,5.0,3.1791436120422865,5.0,3.1796267281796515,5.0,3.1782743855291464,5.0
17,-18,181825.79890950004,17.549,15.549,15.504,15.63,30.5,15.0,3.3677074259861457,5.0,3.3677074259861457,5.0,3.368250259664891,5.0,3.3667307821354697,5.0
18,-19,191927.23218225004,17.5795,15.5795,15.532,15.665,30.5,15.0,3.556446253884615,5.0,3.556446253884615,5.0,3.5570524284784133,5.0,3.555355679993938,5.0
