,Grad,Lon,Lat,TempSur,TempSur_celsius,TempSur_c,temp_at_f,pressure,CO2_dense,CO2_phase,geometry,index_right,level_0,level_1
0,29.0,-97.2,26.3,294.2,21.0,21.0,301.4,2525358.3181875004,51.15994066576294,5.0,POINT (-97.2 26.3),21.0,44.0,21.0
1,30.0,-97.5,27.3,293.5,20.0,20.0,300.65,2525358.3181875004,51.3640465822889,5.0,POINT (-97.5 27.3),59.0,44.0,59.0
2,30.6,-97.3,26.6,293.1,20.0,20.0,300.79999999999995,2525358.3181875004,51.32304073119483,5.0,POINT (-97.3 26.6),131.0,44.0,131.0
3,34.0,-97.1,27.8,293.8,21.0,21.0,302.65,2525358.3181875004,50.82480411401674,5.0,POINT (-97.09999999999999 27.8),131.0,44.0,131.0
4,24.5,-96.9,28.1,293.0,20.0,20.0,299.275,2525358.3181875004,51.74432576908573,5.0,POINT (-96.90000000000001 28.1),172.0,44.0,172.0
5,30.0,-96.7,28.2,293.0,20.0,20.0,300.65,2525358.3181875004,51.3640465822889,5.0,POINT (-96.7 28.2),198.0,44.0,198.0
6,29.0,-96.5,28.3,293.2,20.0,20.0,300.4,2525358.3181875004,51.43259684185212,5.0,POINT (-96.5 28.3),198.0,44.0,198.0
7,23.5,-96.2,28.6,291.9,19.0,19.0,298.025,2525358.3181875004,52.097097685131075,5.0,POINT (-96.2 28.6),209.0,44.0,209.0
8,27.0,-97.4,25.9,291.9,19.0,19.0,298.9,2525358.3181875004,51.849438711878975,5.0,POINT (-97.40000000000001 25.9),258.0,44.0,258.0
9,28.0,-97.5,25.9,293.3,20.0,20.0,300.15,2525358.3181875004,51.50140770738034,5.0,POINT (-97.5 25.9),258.0,44.0,258.0
10,31.0,-97.3,26.0,293.4,20.0,20.0,300.9,2525358.3181875004,51.295755040851205,5.0,POINT (-97.3 26),258.0,44.0,258.0
11,32.0,-97.4,26.0,292.2,19.0,19.0,300.15,2525358.3181875004,51.50140770738034,5.0,POINT (-97.40000000000001 26),258.0,44.0,258.0
12,32.0,-97.5,26.0,292.0,19.0,19.0,300.15,2525358.3181875004,51.50140770738034,5.0,POINT (-97.5 26),258.0,44.0,258.0
13,27.0,-97.6,26.0,291.5,18.0,18.0,297.9,2525358.3181875004,52.132755095252044,5.0,POINT (-97.59999999999999 26),258.0,44.0,258.0
14,33.0,-97.3,26.1,293.2,20.0,20.0,301.4,2525358.3181875004,51.15994066576294,5.0,POINT (-97.3 26.1),258.0,44.0,258.0
15,37.0,-97.4,26.1,291.5,18.0,18.0,300.4,2525358.3181875004,51.43259684185212,5.0,POINT (-97.40000000000001 26.1),258.0,44.0,258.0
16,27.0,-97.5,26.1,291.3,18.0,18.0,297.9,2525358.3181875004,52.132755095252044,5.0,POINT (-97.5 26.1),258.0,44.0,258.0
17,26.5,-97.6,26.1,291.4,18.0,18.0,297.775,2525358.3181875004,52.16848268389607,5.0,POINT (-97.59999999999999 26.1),258.0,44.0,258.0
18,34.0,-97.7,26.1,291.4,18.0,18.0,299.65,2525358.3181875004,51.639818914746726,5.0,POINT (-97.7 26.1),258.0,44.0,258.0
19,30.0,-97.8,26.1,291.4,18.0,18.0,298.65,2525358.3181875004,51.919854076862975,5.0,POINT (-97.8 26.1),258.0,44.0,258.0
20,31.0,-97.9,26.1,291.6,18.0,18.0,298.9,2525358.3181875004,51.849438711878975,5.0,POINT (-97.90000000000001 26.1),258.0,44.0,258.0
21,35.0,-98.0,26.1,291.4,18.0,18.0,299.9,2525358.3181875004,51.570481088057704,5.0,POINT (-98 26.1),258.0,44.0,258.0
22,36.0,-98.1,26.1,291.4,18.0,18.0,300.15,2525358.3181875004,51.50140770738034,5.0,POINT (-98.09999999999999 26.1),258.0,44.0,258.0
23,37.0,-98.2,26.1,291.9,19.0,19.0,301.4,2525358.3181875004,51.15994066576294,5.0,POINT (-98.2 26.1),258.0,44.0,258.0
24,35.0,-97.3,26.2,292.6,19.0,19.0,300.9,2525358.3181875004,51.295755040851205,5.0,POINT (-97.3 26.2),258.0,44.0,258.0
25,34.5,-97.4,26.2,292.1,19.0,19.0,300.775,2525358.3181875004,51.32986858896953,5.0,POINT (-97.40000000000001 26.2),258.0,44.0,258.0
26,30.5,-97.5,26.2,291.2,18.0,18.0,298.775,2525358.3181875004,51.88461221799934,5.0,POINT (-97.5 26.2),258.0,44.0,258.0
27,26.0,-97.6,26.2,291.3,18.0,18.0,297.65,2525358.3181875004,52.20428071803998,5.0,POINT (-97.59999999999999 26.2),258.0,44.0,258.0
28,36.0,-97.7,26.2,292.0,19.0,19.0,301.15,2525358.3181875004,51.22772035071739,5.0,POINT (-97.7 26.2),258.0,44.0,258.0
29,36.0,-97.8,26.2,291.2,18.0,18.0,300.15,2525358.3181875004,51.50140770738034,5.0,POINT (-97.8 26.2),258.0,44.0,258.0
30,37.0,-97.9,26.2,291.4,18.0,18.0,300.4,2525358.3181875004,51.43259684185212,5.0,POINT (-97.90000000000001 26.2),258.0,44.0,258.0
31,35.0,-98.0,26.2,291.6,18.0,18.0,299.9,2525358.3181875004,51.570481088057704,5.0,POINT (-98 26.2),258.0,44.0,258.0
32,34.0,-98.1,26.2,291.6,18.0,18.0,299.65,2525358.3181875004,51.639818914746726,5.0,POINT (-98.09999999999999 26.2),258.0,44.0,258.0
33,40.0,-98.2,26.2,292.7,20.0,20.0,303.15,2525358.3181875004,50.692472145572225,5.0,POINT (-98.2 26.2),258.0,44.0,258.0
34,33.0,-98.3,26.2,292.5,19.0,19.0,300.4,2525358.3181875004,51.43259684185212,5.0,POINT (-98.3 26.2),258.0,44.0,258.0
35,36.0,-98.4,26.2,292.1,19.0,19.0,301.15,2525358.3181875004,51.22772035071739,5.0,POINT (-98.40000000000001 26.2),258.0,44.0,258.0
36,32.0,-97.4,26.3,292.3,19.0,19.0,300.15,2525358.3181875004,51.50140770738034,5.0,POINT (-97.40000000000001 26.3),258.0,44.0,258.0
37,34.0,-97.5,26.3,291.2,18.0,18.0,299.65,2525358.3181875004,51.639818914746726,5.0,POINT (-97.5 26.3),258.0,44.0,258.0
38,33.5,-97.6,26.3,290.7,18.0,18.0,299.525,2525358.3181875004,51.67458760475144,5.0,POINT (-97.59999999999999 26.3),258.0,44.0,258.0
39,33.0,-97.7,26.3,290.7,18.0,18.0,299.4,2525358.3181875004,51.70942314032859,5.0,POINT (-97.7 26.3),258.0,44.0,258.0
40,31.0,-97.8,26.3,290.8,18.0,18.0,298.9,2525358.3181875004,51.849438711878975,5.0,POINT (-97.8 26.3),258.0,44.0,258.0
41,39.0,-97.9,26.3,291.0,18.0,18.0,300.9,2525358.3181875004,51.295755040851205,5.0,POINT (-97.90000000000001 26.3),258.0,44.0,258.0
42,37.0,-98.0,26.3,291.0,18.0,18.0,300.4,2525358.3181875004,51.43259684185212,5.0,POINT (-98 26.3),258.0,44.0,258.0
43,36.0,-98.1,26.3,291.3,18.0,18.0,300.15,2525358.3181875004,51.50140770738034,5.0,POINT (-98.09999999999999 26.3),258.0,44.0,258.0
44,38.0,-98.2,26.3,292.1,19.0,19.0,301.65,2525358.3181875004,51.092414160245994,5.0,POINT (-98.2 26.3),258.0,44.0,258.0
45,37.0,-98.3,26.3,291.8,19.0,19.0,301.4,2525358.3181875004,51.15994066576294,5.0,POINT (-98.3 26.3),258.0,44.0,258.0
46,39.0,-98.4,26.3,291.7,19.0,19.0,301.9,2525358.3181875004,51.025139028499254,5.0,POINT (-98.40000000000001 26.3),258.0,44.0,258.0
47,40.0,-98.5,26.3,291.7,19.0,19.0,302.15,2525358.3181875004,50.95811348462755,5.0,POINT (-98.5 26.3),258.0,44.0,258.0
48,40.0,-98.6,26.3,292.0,19.0,19.0,302.15,2525358.3181875004,50.95811348462755,5.0,POINT (-98.59999999999999 26.3),258.0,44.0,258.0
49,42.0,-98.7,26.3,292.1,19.0,19.0,302.65,2525358.3181875004,50.82480411401674,5.0,POINT (-98.7 26.3),258.0,44.0,258.0
50,37.0,-97.4,26.4,292.9,20.0,20.0,302.4,2525358.3181875004,50.891335762211526,5.0,POINT (-97.40000000000001 26.4),258.0,44.0,258.0
51,34.0,-97.5,26.4,291.4,18.0,18.0,299.65,2525358.3181875004,51.639818914746726,5.0,POINT (-97.5 26.4),258.0,44.0,258.0
52,35.0,-97.6,26.4,290.7,18.0,18.0,299.9,2525358.3181875004,51.570481088057704,5.0,POINT (-97.59999999999999 26.4),258.0,44.0,258.0
53,25.0,-97.7,26.4,290.6,17.0,17.0,296.4,2525358.3181875004,52.56619543999004,5.0,POINT (-97.7 26.4),258.0,44.0,258.0
54,34.0,-97.8,26.4,290.6,17.0,17.0,298.65,2525358.3181875004,51.919854076862975,5.0,POINT (-97.8 26.4),258.0,44.0,258.0
